model,samples_evaluated,mean_abs_error_px,mean_percent_error
unet,257,0.6520531297380858,8.493301691443444
attention_unet,257,0.5672394585604112,7.178307297077189
deeplabv3,257,0.5265353898068631,6.564831399673641
