epoch,loss,dice,iou,val_loss,val_dice,val_iou
1,1.2490221659342449,0.5781915088494619,0.4191080729166667,1.3054516315460205,0.505979374051094,0.3412984162569046
2,1.2411200006802876,0.5781914989153544,0.4191080729166667,1.2832440733909607,0.505979374051094,0.3412984162569046
3,1.2034322619438171,0.5811256219943365,0.422047237555186,1.1742653250694275,0.8025520443916321,0.6810453534126282
4,1.0892367263634999,0.7012464304765066,0.5692104001839956,0.8433191776275635,0.8748936057090759,0.7785891592502594
5,0.9394124150276184,0.6431989782383122,0.5495929930451288,0.8506443500518799,0.7299824953079224,0.5832362771034241
6,0.8887681762377421,0.7477241158485413,0.6053555607795715,0.5290640294551849,0.8567822873592377,0.7558358609676361
7,0.8032448689142863,0.7275474270184835,0.6377559304237366,0.42580583691596985,0.8934053480625153,0.8123579621315002
8,0.7697323858737946,0.766286164522171,0.6301118632157644,0.6884119212627411,0.7645050287246704,0.6302058100700378
9,0.7945487201213837,0.7557940185070038,0.6150266428788503,0.5168160200119019,0.8515122830867767,0.7500323951244354
10,0.7140287657578787,0.780329758922259,0.6875811070203781,0.46642349660396576,0.8969877064228058,0.8256170749664307
11,0.7274805307388306,0.757003034154574,0.6650292774041494,0.45271675288677216,0.8838895857334137,0.7937602400779724
12,0.6900863796472549,0.7729180852572123,0.6749044557412466,0.41282767057418823,0.894049882888794,0.8101362884044647
13,0.6820256561040878,0.7767558991909027,0.6855351626873016,0.4036644548177719,0.8868536353111267,0.798441082239151
14,0.688389390707016,0.7679648399353027,0.673349400361379,0.401947557926178,0.9032095968723297,0.8370176553726196
15,0.6743800491094589,0.7821787099043528,0.6821735302607218,0.38943710923194885,0.8831518590450287,0.7932522594928741
16,0.6719060440858206,0.7935751676559448,0.6895484924316406,0.38864971697330475,0.9026322364807129,0.825254887342453
17,0.6465543309847513,0.7748458385467529,0.683762381474177,0.40986838936805725,0.8970118761062622,0.8289842307567596
18,0.6542472591002783,0.7848617235819498,0.6911965012550354,0.37790608406066895,0.8911340534687042,0.8079618215560913
19,0.6209578712781271,0.8051856656869253,0.7021418313185374,0.33031894266605377,0.9229169189929962,0.8589350879192352
20,0.6183235744635264,0.814733237028122,0.7167024314403534,0.32410459220409393,0.9245022535324097,0.8667333722114563
