epoch,loss,dice,iou,val_loss,val_dice,val_iou
1,1.2894162038962047,0.6367958759268125,0.48774732897679013,1.2291314999262493,0.8154827157656351,0.7083943684895834
2,0.9288341552019119,0.850696345170339,0.7544464518626531,0.45530965924263,0.8392773071924845,0.7520985802014669
3,0.4369715712964535,0.8558348963658015,0.7568552295366923,0.5876961847146353,0.8331014116605123,0.7455857793490092
4,0.44394345457355183,0.8585307896137238,0.7704132298628489,0.408854345480601,0.8512990276018778,0.7712802290916443
5,0.3609352248410384,0.8771406014760336,0.7961353609959284,0.39878695209821063,0.8504324555397034,0.7765632470448812
6,0.38423460721969604,0.8691262503465017,0.7898286581039429,0.3776482244332631,0.8578795989354452,0.7854100267092387
7,0.34883102029561996,0.8754750291506449,0.792224238316218,0.4219582974910736,0.8418548305829366,0.7505597869555155
8,0.3592689757545789,0.8732140411933264,0.7945996423562368,0.3746648331483205,0.8565134008725485,0.775454580783844
9,0.34351185088356334,0.8858360598484675,0.806650514403979,0.3932977666457494,0.8460779786109924,0.7766971588134766
10,0.3354168211420377,0.8856853197018305,0.8190254966417948,0.3828137417634328,0.8560163776079813,0.7686039805412292
11,0.3132835812866688,0.8954565028349558,0.8285524596770605,0.3204311231772105,0.877514640490214,0.8113430738449097
12,0.2701333463191986,0.9074462155501047,0.8437070101499557,0.3123563528060913,0.8830931584040324,0.813220759232839
13,0.25784923508763313,0.9135303149620692,0.8495796273152033,0.2905348092317581,0.887145976225535,0.8210981090863546
14,0.23898397386074066,0.9194129705429077,0.86219951013724,0.31937262415885925,0.8796496987342834,0.8047276536623637
15,0.2792944225172202,0.9052810172239939,0.8434554487466812,0.28927870591481525,0.8922557830810547,0.8233789404233297
16,0.24196561550100645,0.9183560063441595,0.8564461767673492,0.2577541371186574,0.9039295117060343,0.8428356250127157
17,0.22120578835407892,0.9287559141715368,0.8736356794834137,0.25114859640598297,0.9064467350641886,0.8431880672772726
18,0.2194683514535427,0.9247070302565893,0.8686278015375137,0.24865462382634482,0.9085633357365926,0.8456732233365377
19,0.19567409219841161,0.9366344114144644,0.8858805596828461,0.2544895112514496,0.9160563548405966,0.8508202234903971
20,0.1939572108288606,0.935655802488327,0.883355900645256,0.2157794733842214,0.9226792852083842,0.8660240372021993
21,0.19023807781438032,0.9367441187302271,0.8879836201667786,0.20736335714658102,0.9302338361740112,0.8763451178868612
22,0.16815330274403095,0.9470986425876617,0.9015033642450968,0.22220908105373383,0.9266027410825094,0.8680121103922526
23,0.17062225254873434,0.9449324458837509,0.8984649429718653,0.2099179724852244,0.9280389944712321,0.8716557224591573
24,0.15379004987577596,0.9503138810396194,0.9080245246489843,0.1851161370674769,0.9392395814259847,0.8904906113942465
25,0.1527306754142046,0.9495822836955389,0.906438077489535,0.19355165461699167,0.936590572198232,0.884911040465037
26,0.1616752470533053,0.9471407184998194,0.901809980471929,0.17084461450576782,0.9400578141212463,0.891417384147644
27,0.1510811603317658,0.9496557066837946,0.9073361853758494,0.19749368478854498,0.9387901226679484,0.8889457782109579
28,0.1704500261694193,0.9455811232328415,0.8986601283152899,0.21470217406749725,0.9248939156532288,0.865819255510966
29,0.1713645781079928,0.9465784380833308,0.9011210302511851,0.18025650332371393,0.9421023925145467,0.8947709600130717
30,0.1386636346578598,0.9566497753063837,0.9179659833510717,0.1814208130041758,0.94817054271698,0.9053911765416464
31,0.1458066012710333,0.9539666871229807,0.913103312253952,0.19144712636868158,0.9402701656023661,0.8908969362576803
32,0.13667107746005058,0.9564325362443924,0.917772501707077,0.18544244269529978,0.9433905084927877,0.8968656659126282
33,0.12566994689404964,0.9604833871126175,0.924949844678243,0.1857479214668274,0.944748063882192,0.8990023334821066
34,0.12675404796997705,0.9595131576061249,0.9233683049678802,0.1889850522081057,0.9441074132919312,0.8981348872184753
35,0.1192368237922589,0.9622780680656433,0.9279833684364954,0.16009490936994553,0.9481925765673319,0.9044809937477112
36,0.1161205278088649,0.9623823165893555,0.928176169594129,0.1702706590294838,0.9485700329144796,0.9054204821586609
