model,samples_evaluated,mean_abs_error_px,mean_percent_error
unet,57,0.83941147688516,14.425432037188557
attention_unet,57,0.9401423494518248,15.74143813482842
deeplabv3,57,1.0784769901953162,19.758919042129808
